Date,Paragraphs,url,user/name,user/screen_name,Sentiment
2021-03-11 22:26:44+00:00,"Premier Li Keqiang on China-US relations: Our two countries need to put more energy on their common ground and expand converging interests. I hope that China-US relations can be future-oriented, overcome obstacles and move in a positive direction. https://t.co/W2BoYt4lI2",https://twitter.com/AmbCuiTiankai/status/1370139153183219719,Cui Tiankai,AmbCuiTiankai,1
2021-03-07 16:05:01+00:00,"FM Wang Yi: We may see a competitive element in China-US relations. This is normal. What matters is that we advocate healthy competition on a fair &amp; just basis for self-improvement &amp; mutual enhancement. More importantly, cooperation should be our main goal
https://t.co/OwKSJY0AP7",https://twitter.com/AmbCuiTiankai/status/1368593537860841474,Cui Tiankai,AmbCuiTiankai,1
2021-03-20 20:36:18+00:00,"No mutual respect, no mutual understanding, no mutual benefit. More mutual respect, more mutual understanding, more mutual benefit.",https://twitter.com/AmbCuiTiankai/status/1373372852662104064,Cui Tiankai,AmbCuiTiankai,0
2021-01-29 15:55:30+00:00,"On issues that concern its sovereignty, reunification and territorial integrity, China will not back down, and it is hoped that the U.S. side will respect China’s core interests and refrain from crossing the red line.",https://twitter.com/AmbCuiTiankai/status/1355182790879404035,Cui Tiankai,AmbCuiTiankai,-1
2021-02-10 22:20:42+00:00,"Diplomats aren't always engaging foreign governments or negotiating int'l treaties. Diplomats of Chinese Embassy in US are also excellent artists, gifted musicians &amp; brilliant dancers. We also have a shadow boxing practitioner. Interested? Stayed tuned@8pm https://t.co/nCC2LgJe0t https://t.co/N3HXMbIVpr",https://twitter.com/AmbCuiTiankai/status/1359628387309002757,Cui Tiankai,AmbCuiTiankai,0
2021-02-11 02:22:16+00:00,"In case you missed it, have a look at how Chinese diplomats, coming from different parts of China and gathered in DC, celebrate the new year in their own way. https://t.co/c6KigpitGH https://t.co/pMyLDPDb5V",https://twitter.com/AmbCuiTiankai/status/1359689176153743361,Cui Tiankai,AmbCuiTiankai,0
2021-02-07 21:15:25+00:00,"I did an interview with @FareedZakaria, we had a good conversation. If you are interested in his questions and my responses, here is the transcript: https://t.co/t0dBGceCVP https://t.co/Bu8vcjI0V6",https://twitter.com/AmbCuiTiankai/status/1358524792723406856,Cui Tiankai,AmbCuiTiankai,0
2021-01-14 20:09:55+00:00,"A better China means more exciting prospects for companies worldwide, including American companies.
https://t.co/cjqy3geDAC",https://twitter.com/AmbCuiTiankai/status/1349810998648197121,Cui Tiankai,AmbCuiTiankai,0
2021-01-14 22:59:42+00:00,"Two things to note: 
1. China's trade in goods rose by 1.9% in 2020
2. China-U.S. two-way trade grew by 8.8%, with imports from the U.S. up by 10.1%

These are not just another year-end numbers if you factor in the pandemic.",https://twitter.com/AmbCuiTiankai/status/1349853727910453249,Cui Tiankai,AmbCuiTiankai,-1
2021-02-11 16:22:27+00:00,"For Chinese, today is a time for blessing, reunion and celebration. Here is my new year’s message. https://t.co/KI9bUYoagY",https://twitter.com/AmbCuiTiankai/status/1359900618836557824,Cui Tiankai,AmbCuiTiankai,1
2021-02-11 20:01:27+00:00,China and the United States both gain from cooperation and lose from confrontation; cooperation is the only right choice for both sides.,https://twitter.com/AmbCuiTiankai/status/1359955729948491784,Cui Tiankai,AmbCuiTiankai,1
2021-01-29 15:55:29+00:00,"It is our firm belief that China and the United States can benefit from the prosperity and development of the other side. We may have competition, but we don’t have to be rivals. Instead, we should strive to be partners. Read my speech at the event: https://t.co/VWS32fPbg1 https://t.co/twoRYj8z6o",https://twitter.com/AmbCuiTiankai/status/1355182788115390466,Cui Tiankai,AmbCuiTiankai,1
2021-02-12 02:37:18+00:00,"Whether in person or online, music connects heart and soul. With the fascinating music, let’s embrace the Year of the Ox together. https://t.co/fIndeAY5h0 https://t.co/JmJj0LnBZP",https://twitter.com/AmbCuiTiankai/status/1360055350284726272,Cui Tiankai,AmbCuiTiankai,1
2021-01-25 17:08:32+00:00,"President Xi Jinping delivered a special address at the World Economic Forum Virtual Event of the Davos Agenda. As he said, the way out of the world's problems is through upholding multilateralism &amp; building a community with a shared future for mankind. https://t.co/kxBmB0PrVd",https://twitter.com/AmbCuiTiankai/status/1353751618882330629,Cui Tiankai,AmbCuiTiankai,1
2021-01-21 00:47:24+00:00,"Congratulations to President Biden on his inauguration! China looks forward to working with the new administration to promote sound &amp; steady development of China-U.S. relations and jointly address global challenges in public health, climate change &amp; growth. @POTUS @JoeBiden",https://twitter.com/AmbCuiTiankai/status/1352055159040389124,Cui Tiankai,AmbCuiTiankai,1
2020-12-30 15:37:37+00:00,"President Xi Jinping: #China-#EU investment agreement demonstrates China's determination &amp; confidence to open up at a high level. It will provide broader market access, a better business environment, stronger institutional guarantees and brighter prospects for two-way investment https://t.co/NmM6ynS1hN",https://twitter.com/ChineseEmbinUS/status/1344306655186587648,Chinese Embassy in US,ChineseEmbinUS,1
2020-12-31 19:13:07+00:00,"As President Xi said, after this whole year we understand more than ever the significance of a community with a shared future for mankind.

We should join hands and support each other to dispel the gloom of the pandemic ASAP and build a better home for all.https://t.co/9v25RgVJiK",https://twitter.com/AmbCuiTiankai/status/1344723274643726338,Cui Tiankai,AmbCuiTiankai,1
2021-01-29 15:55:29+00:00,Our two countries have not a small number of differences and disagreements. The only way out of them is candid and equal-footed dialogue on the basis of mutual respect. Claiming that dialogue is useless is no less than advocating confrontation.,https://twitter.com/AmbCuiTiankai/status/1355182789839237120,Cui Tiankai,AmbCuiTiankai,-1
2021-01-06 15:58:04+00:00,"Can't wait to explore it!",https://twitter.com/AmbCuiTiankai/status/1346848516400939009,Cui Tiankai,AmbCuiTiankai,0
2021-02-07 14:58:09+00:00,"If you have not done so, please join me in enjoying the fascinating music presented by Chinese and American musicians. With the Spring Festival in sight, I believe their music will bring hope and kick off a beautiful spring for all of us. https://t.co/Anivd3Xasp https://t.co/UaCVDlgLyv",https://twitter.com/AmbCuiTiankai/status/1358429852441980929,Cui Tiankai,AmbCuiTiankai,0
2021-01-04 19:18:25+00:00,"It is not easy to get the job done, but eradicating poverty across the country is not the ultimate goal. It is just the starting point of a new life and a new journey.",https://twitter.com/AmbCuiTiankai/status/1346174160964358147,Cui Tiankai,AmbCuiTiankai,0
2021-01-27 23:03:53+00:00,I am glad to join the virtual conference tonight and share with everyone my thoughts on future China-US relations. Stay tuned at 8 pm EST,https://twitter.com/AmbCuiTiankai/status/1354565824208637956,Cui Tiankai,AmbCuiTiankai,0
2020-12-30 22:47:04+00:00,This agreement will be a strong boost to the post-pandemic economic recovery as well as global trade and investment. We are one step closer to an open world economy.,https://twitter.com/AmbCuiTiankai/status/1344414729243140097,Cui Tiankai,AmbCuiTiankai,0
2021-02-02 17:41:47+00:00,"Director Yang Jiechi said in his dialogue with the NCUSCR, China and the US need to restore their relations to a predictable &amp; constructive track of development, and build a model of interaction that focuses on peaceful coexistence and win-win cooperation. https://t.co/q7D94RdPoT",https://twitter.com/AmbCuiTiankai/status/1356659093025525761,Cui Tiankai,AmbCuiTiankai,1
2020-12-23 21:03:57+00:00,"#Xinjiang - 4 years free of terrorism:

-7.2% annual GDP growth
-All regions and prefectures connected by expressways
-9.1% per capita disposable income growth rate
-99.7% covered by basic medical insurance
-3 mln+ lifted out of poverty
https://t.co/zCHR5BjO02",https://twitter.com/ChineseEmbinUS/status/1341852064188653578,Chinese Embassy in US,ChineseEmbinUS,0
2020-12-16 19:53:40+00:00,"China's economy is an important engine for global growth. With high-quality development guided by a new development paradigm, this engine will function more efficiently and provide stronger driving force for world economic development.",https://twitter.com/AmbCuiTiankai/status/1339297662370275329,Cui Tiankai,AmbCuiTiankai,0
2020-12-18 18:36:31+00:00,"A guide to China's macroeconomic policy next year 👇With key tasks rolled out, I believe there will be a sound start to the 14th Five-Year Plan.",https://twitter.com/AmbCuiTiankai/status/1340003021611253761,Cui Tiankai,AmbCuiTiankai,0
2020-12-21 04:57:50+00:00,So sad to learn the passing of Professor Ezra Vogel. He was an outstanding scholar on China and an old friend of the Chinese people. Throughout his lifetime he was dedicated to greater mutual understanding between the Chinese and American people,https://twitter.com/AmbCuiTiankai/status/1340884156847427585,Cui Tiankai,AmbCuiTiankai,0
2020-12-04 01:01:18+00:00,"There are always differences between the two countries. None of them justifies confrontation and war, cold or hot. With sufficient mutual respect and mutual understanding, we are capable of managing these differences so that they would not derail the entire relationship.",https://twitter.com/AmbCuiTiankai/status/1334664039629205506,Cui Tiankai,AmbCuiTiankai,-1
2020-12-18 16:49:20+00:00,"The annual Central Economic Work Conference concluded on Friday. China will keep its macro policies consistent, stable, and sustainable in 2021 to push forward steady economic recovery and high-quality development. More:https://t.co/KrQk4ezggx https://t.co/JQ1MWhGsQH",https://twitter.com/ChineseEmbinUS/status/1339976051947134978,Chinese Embassy in US,ChineseEmbinUS,0
2020-12-30 19:53:29+00:00,"The threats we have faced in 2020 may have exposed our vulnerabilities, but they have also brought out the best of humanity. With hope &amp; solidarity, we will defeat fear &amp; division; with hands joined, we will find a path to a shared future. Let's make this our resolution for 2021.",https://twitter.com/AmbCuiTiankai/status/1344371047467003904,Cui Tiankai,AmbCuiTiankai,0
2020-12-16 16:24:13+00:00,"China on Wednesday released the 2020 negative list for market access, which cut the number of items on the list to 123 from 131 in the previous year. It's one of the manifestations of China to further advance its reform and opening up. For details: https://t.co/xEBhSY7iQV",https://twitter.com/ChineseEmbinUS/status/1339244954527395840,Chinese Embassy in US,ChineseEmbinUS,0
2020-12-21 04:57:50+00:00,"I have known Professor Vogel for a long time and learned a great deal from him. I believe his ideas and commitment will always have an impact on us. My deepest condolences to Professor Vogel's family.   @FairbankCenter",https://twitter.com/AmbCuiTiankai/status/1340884158562877440,Cui Tiankai,AmbCuiTiankai,1
2020-12-04 00:58:18+00:00,"Post-pandemic world would not be stable and global governance would not be effective without sound&amp;stable relations between China and the US. We have to have a shared vision for the future, make the right choice and keep the relations on a constructive track towards agreed goals.",https://twitter.com/AmbCuiTiankai/status/1334663286005108738,Cui Tiankai,AmbCuiTiankai,1
2020-12-01 21:56:42+00:00,"Ending AIDS is one of the targets in 2030 Agenda for Sustainable Development. While fighting the disease &amp; raising awareness at home, China is also helping other countries do the same &amp; enhance capacity building in health. We share one world; we need health &amp; safety for all.",https://twitter.com/AmbCuiTiankai/status/1333892808944586752,Cui Tiankai,AmbCuiTiankai,1
2020-12-07 23:15:11+00:00,Sound and stable development of China-US relations bears on the interests of both countries and the whole world. And the future of this relationship depends on the choice of America and concerted efforts of the two sides.,https://twitter.com/AmbCuiTiankai/status/1336086883735056386,Cui Tiankai,AmbCuiTiankai,1
2020-12-04 01:00:17+00:00,"so that our two sides may focus on cooperation, manage differences, move forward China-US relations in a sound and steady manner and, together with other countries and the international community, advance the noble cause of world peace and development.”",https://twitter.com/AmbCuiTiankai/status/1334663783126593538,Cui Tiankai,AmbCuiTiankai,1
2020-12-18 14:49:44+00:00,"Delivering an address at the Special Event hosted by Asia Society, State Councilor and Foreign Minister Wang Yi on China-US relations: https://t.co/PIuEBMl0oW",https://twitter.com/ChineseEmbinUS/status/1339945951998455814,Chinese Embassy in US,ChineseEmbinUS,0
2020-12-04 01:01:45+00:00,"We should, based on a clear understanding of the new realities of today's world, join hands to build a new type of international relations and a community of mankind for a shared future.",https://twitter.com/AmbCuiTiankai/status/1334664152502181888,Cui Tiankai,AmbCuiTiankai,1
2020-12-07 17:44:38+00:00,"Chinese FM Wang Yi said that China and the US need to ensure a stable transition of their relations against disturbances of all kinds, and strive to resume dialogue, bring ties back on track and rebuild mutual trust for the next stage of bilateral ties. @USChinaBusiness 1/6Thread https://t.co/GRzRNURHhG",https://twitter.com/ChineseEmbinUS/status/1336003699840311296,Chinese Embassy in US,ChineseEmbinUS,1
2020-12-04 00:58:18+00:00,Glad to join @icasDC 2020 Annual Conference and have a good discussion with @GrahamTAllison and @sorlins. https://t.co/StC495pF0m,https://twitter.com/AmbCuiTiankai/status/1334663284797083648,Cui Tiankai,AmbCuiTiankai,1
2020-12-16 22:03:46+00:00,"A shorter list, and greater opening-up",https://twitter.com/AmbCuiTiankai/status/1339330402062831618,Cui Tiankai,AmbCuiTiankai,0
2020-12-23 22:20:16+00:00,An excellent example of international cooperation. This is what we always need. https://t.co/q3UjQDu99F,https://twitter.com/AmbCuiTiankai/status/1341871269332078593,Cui Tiankai,AmbCuiTiankai,1
